LapNumber,Driver,year,gp,avg_rpm,avg_throttle,avg_speed,avg_gear,avg_drs,avg_ers_mode,SpeedI1,SpeedI2,SpeedFL,Team,Stint,Compound,TrackStatus,LapTime,sample_count,avg_rpm_std,avg_throttle_std,avg_speed_std,power_estimate,speed_per_rpm,drs_speed_factor,energy_intensity,speed_per_gear,speed_variance,avg_sector_speed,rpm_throttle_interaction,rpm_squared,throttle_squared,speed_throttle_interaction,gear_rpm_interaction,ers_throttle_interaction,drs_speed_interaction,speed_to_rpm_ratio,speed_to_throttle_ratio,speed_to_gear_ratio,rpm_to_gear_ratio,ers_to_rpm_ratio,avg_rpm_pow2,avg_throttle_pow2,avg_speed_pow2,rpm_zone_low,rpm_zone_medium,rpm_zone_high,rpm_zone_very_high,throttle_zone_low,throttle_zone_medium,throttle_zone_high,throttle_zone_full,speed_zone_slow,speed_zone_medium,speed_zone_fast,speed_zone_very_fast,speed_trap_std,speed_trap_range,speed_trap_cv,speed_gain,overall_variability,avg_rpm_lag1,avg_rpm_lag2,avg_rpm_lag3,avg_rpm_rolling_mean_3,avg_rpm_rolling_std_3,avg_throttle_lag1,avg_throttle_lag2,avg_throttle_lag3,avg_throttle_rolling_mean_3,avg_throttle_rolling_std_3,avg_speed_lag1,avg_speed_lag2,avg_speed_lag3,avg_speed_rolling_mean_3,avg_speed_rolling_std_3,circuit_bahrain,circuit_barcelona,circuit_montreal,circuit_singapore,circuit_suzuka,is_power_circuit,stint_number,tire_HARD,tire_INTERMEDIATE,tire_MEDIUM,tire_SOFT,tire_WET,fuel_burn_proxy
2.0,ALB,2022,bahrain,0.37398033653365964,-0.006717568856980384,-0.10511806920282521,-0.2606774893406598,1.6066630382612679,0.0,-1.0,-0.9,0.2727272727272727,Williams,1.0,SOFT,1,0 days 00:01:40.548000,16,194.71837511269763,2.317714611697283,2.102579915292492,0.028183755100459673,-0.34657373157877486,1.655511976906724,0.0,0.5200317443376372,0.5623110443033892,-1.121212121212122,632305.2868035528,100546838.08499724,3976.3555307601414,12162.886833166225,49442.57111384437,0.0,192.75596625792855,0.019233864133741296,3.0110523931397064,32.52229910557551,1690.7188191036269,0.0,100546838.08499724,3976.3555307601414,37203.8704718459,False,False,True,False,False,False,True,False,False,True,False,False,24.110855093366833,48.0,0.0950493630487523,48.0,55.81238118326356,0.0,0.0,0.0,10027.304627116762,0.0,0.0,0.0,0.0,63.05835020645673,0.0,0.0,0.0,0.0,192.88304868973296,0.0,True,False,False,False,False,0,1.0,False,False,False,True,False,0.602878905745332
3.0,ALB,2022,bahrain,-0.04960668708528592,-0.016122269479593214,-0.1422331481742871,-0.0436812061248895,2.455288171200052,0.0,-1.15,-1.1,0.2727272727272727,Williams,1.0,SOFT,1,0 days 00:01:40.664000,16,223.98357327893905,2.219722911306813,2.0996251764351515,-0.03047947146623247,-0.15898682069030276,2.523329865259608,0.0,-0.06428108242575013,0.7156443854215151,-1.3333333333333324,627912.2817473003,99353988.56957068,3968.3744884888897,12132.939723140615,49553.92569359102,0.0,272.43495274335396,0.01932072833392528,3.0096322480888014,32.25358327023816,1669.2097321735848,0.0,99353988.56957068,3968.3744884888897,37095.34640754598,False,True,False,False,False,False,True,False,False,True,False,False,25.77466456296441,51.0,0.1025517157677629,51.0,63.51939648241135,10027.304627116762,0.0,0.0,9997.47586003278,42.184246959033295,63.05835020645673,0.0,0.0,63.02669281688673,0.04477030967922299,192.88304868973296,0.0,0.0,192.74228551468536,0.19906919123503805,True,False,False,False,False,0,1.0,False,False,False,True,False,0.6002899970853656
4.0,ALB,2022,montreal,-0.1860095104043491,0.013757250865431355,0.26059934813097196,0.7694947858282292,-0.2988717251971842,0.0,0.0,0.55,0.7272727272727273,Williams,1.0,MEDIUM,1,0 days 00:01:19.484000,6,140.06876268932675,2.60632996270631,2.9533543225852377,-0.019916570493614595,0.5847937738727254,-0.30082965373435977,0.0,-0.7253200398729498,0.0,0.5151515151515169,628703.2862674599,98971384.18167835,3993.758654904979,12364.7835392559,50975.11999489526,0.0,13.133812300507234,0.019665144189770875,3.0477991514679137,31.949582352399524,1624.5175142819544,0.0,98971384.18167835,3993.758654904979,38281.70031879187,False,True,False,False,False,False,True,False,False,True,False,False,18.009256878986797,33.0,0.06629174311283483,33.0,40.90942596340127,9967.6470929488,10027.304627116762,0.0,9981.129329409143,41.126421386245404,62.99503542731673,63.05835020645673,0.0,63.08319246970297,0.10285340353851193,192.60152233963774,192.88304868973296,0.0,193.7138899499032,1.6887450390910101,False,False,True,False,False,0,1.0,False,False,True,False,False,0.600165264407548
5.0,ALB,2022,montreal,-0.4377962562871763,0.12141011566734249,0.23157001061682733,0.7612491012841929,0.5360642566222942,0.0,-0.1,0.6,0.8181818181818182,Williams,1.0,MEDIUM,1,0 days 00:01:19.690000,9,106.3812998475608,2.407941828620805,1.9745713142139112,0.04609602124616897,0.6887323680335379,0.5684571515639876,0.0,-0.7859833297473104,0.15872136744564427,0.5151515151515169,633646.6497041697,98267071.32111254,4085.886261627656,12492.510184765904,50778.09363993089,0.0,92.94766788118478,0.019713274108896173,3.010383274466073,31.921684305555,1619.1356271852528,0.0,98267071.32111254,4085.886261627656,38195.583705335586,False,True,False,False,False,False,True,False,False,True,False,False,19.73153144926499,36.0,0.07263140410772388,36.0,32.623836109915125,9948.436268161864,9967.6470929488,10027.304627116762,9943.019419581398,27.73569760354476,63.19619177533547,62.99503542731673,63.05835020645673,63.37072159557689,0.4870001997834649,195.65709882033892,192.60152233963774,192.88304868973296,194.56517527524747,1.704133505648406,False,False,True,False,False,0,1.0,False,False,True,False,False,0.6010659961743924
6.0,ALB,2022,montreal,-0.19972988826084384,0.1622798008253029,0.25795563637040836,0.9329360760625001,0.7948266979965929,0.0,0.05,0.5,0.6363636363636364,Williams,1.0,MEDIUM,1,0 days 00:01:19.682000,10,154.30681224930873,2.8899376205404805,2.1353338176030117,0.11126160455091443,0.5886899665861433,0.8392280980112974,0.0,-1.078297765937185,-0.1057117043481875,0.48484848484848314,638526.5847794411,98932939.93450557,4121.137001892477,12559.131913595857,51270.00306553808,0.0,117.80859189782366,0.01966694836503135,3.0007484853669006,31.787253715802198,1616.115404655978,0.0,98932939.93450557,4121.137001892477,38273.85363570042,False,True,False,False,False,False,True,False,False,True,False,False,16.862186493255653,31.0,0.06214565046654418,31.0,44.048567545176965,9912.974897633532,9948.436268161864,9967.6470929488,9935.971690304097,19.93922921238063,63.92093758407847,63.19619177533547,62.99503542731673,63.77107060304784,0.5165175932990989,195.4369046657657,195.65709882033892,192.60152233963774,195.57701638299537,0.1217538593220137,False,False,True,False,False,0,1.0,False,False,True,False,False,0.6032876200438103
7.0,ALB,2022,montreal,1.0942441207216216,0.423497591290041,0.48720587590309616,0.4882156855001482,-0.4360850341349664,0.0,-0.2,0.5,0.6363636363636364,Williams,1.0,MEDIUM,1,0 days 00:01:19.727000,9,156.96076060863697,2.790909720204715,1.813281179739725,0.5053511119534891,0.19530948149161645,-0.4438756155292448,0.0,0.4937580338856301,0.15872136744564427,0.33333333333333504,668038.0402509099,102591491.32899156,4350.017895647477,13017.86548272865,51364.87576408878,0.0,0.0,0.019484789167228688,2.9479045221853606,32.510216259318945,1668.3273603359135,0.0,102591491.32899156,4350.017895647477,38957.270013987865,False,False,True,False,False,False,True,False,False,True,False,False,19.73153144926499,36.0,0.07317007953991961,36.0,45.324120739461605,9946.503905116891,9912.974897633532,9948.436268161864,9996.074865081913,116.11300453116316,64.19608244972957,63.92093758407847,63.19619177533547,64.69056183052884,1.103356089208194,195.6370456628816,195.4369046657657,195.65709882033892,196.14997047101346,1.0664444864843705,False,False,True,False,False,0,1.0,False,False,True,False,False,0.6162047611647037
11.0,ALB,2022,montreal,0.5344720040041491,0.3491243243529219,0.42576020453773755,0.3827099403886075,-0.39749260700846906,0.0,-0.15,0.4,0.8181818181818182,Williams,1.0,MEDIUM,1,0 days 00:01:19.354000,13,159.61282555512145,2.268690112813652,2.1077504070230106,0.36871929123684116,0.4252222400956528,-0.4033850951001337,0.0,0.5573553025131356,0.13442768049300913,0.36363636363636365,657806.3446149587,101000652.78683022,4284.221686457418,12888.532729652234,50766.28232047215,0.0,3.7176505270966267,0.019591252820762097,2.963102023914792,32.5394635946189,1660.752705671667,0.0,101000652.78683022,4284.221686457418,38773.50148532467,False,False,True,False,False,False,True,False,False,True,False,False,19.467922333931785,37.0,0.0721034160515992,37.0,45.86429710222248,10128.745792495316,9946.503905116891,9912.974897633532,10041.71926534643,91.39649402044672,65.95466545777848,64.19608244972957,63.92093758407847,65.20157135681124,0.9060523730252767,197.3759610843931,195.6370456628816,195.4369046657657,196.64096279393493,0.9001081701178917,False,False,True,False,False,0,1.0,False,False,True,False,False,0.6114490156584453
12.0,ALB,2022,montreal,0.4974452182542654,0.34738788058090286,0.44659520899224364,0.5093655477030401,-0.1758503094930528,0.0,0.05,0.55,0.8181818181818182,Williams,1.0,MEDIUM,1,0 days 00:01:19.472000,14,160.1467759661982,2.7531469273324998,2.4264380442132576,0.36259318671422375,0.48115857930983713,-0.17062261846000554,0.0,0.3373613671777585,-0.020596830606757304,0.575757575757574,657347.5903029641,100895863.21639226,4282.69148706694,12896.573203442958,50978.458343329134,0.0,25.08881431553121,0.019617154763195324,2.966001946170331,32.438292010845444,1653.4030203605207,0.0,100895863.21639226,4282.69148706694,38835.76505429547,False,False,True,False,False,False,True,False,False,True,False,False,17.7857620959388,33.0,0.0653087959459197,33.0,45.778030758420684,10049.90809842708,10128.745792495316,9946.503905116891,10074.44905908329,47.09458578988634,65.45396616292567,65.95466545777848,64.19608244972957,65.61696920437183,0.29251193940644077,196.90988163453014,197.3759610843931,195.6370456628816,197.11792087346717,0.23702866133887754,False,False,True,False,False,0,1.0,False,False,True,False,False,0.6112030146288153
13.0,ALB,2022,barcelona,-0.6310340277012458,-0.7205022328323087,-0.9325953643222112,-0.754803860472899,0.5186502008797631,0.0,0.0,-0.95,-0.36363636363636365,Williams,2.0,MEDIUM,1,0 days 00:01:29.340000,11,192.41518382950895,2.8488215281436124,1.0222208508219686,-0.7253752908625091,-1.1228973889863423,0.5054022263894983,0.0,-0.6955720254771641,-0.5148093031851985,-0.7575757575757559,575874.8977362765,97728240.90722099,3393.409057240722,10870.38047972052,47828.824660076505,0.0,87.15825906829033,0.018874378851611428,3.1493177429428014,31.96326297375824,1693.302348585685,0.0,97728240.90722099,3393.409057240722,34821.9651037215,False,True,False,False,False,False,True,False,False,True,False,False,12.42309676905615,22.0,0.04821382963411183,21.0,52.17733074438267,10044.693286327476,10049.90809842708,10128.745792495316,9993.453628510826,93.30229057971482,65.44227599241135,65.45396616292567,65.95466545777848,63.049738939882275,4.154123830794874,197.06791990147832,196.90988163453014,197.3759610843931,193.52808198948654,5.994834766419887,False,True,False,False,False,0,2.0,False,False,True,False,False,0.5818398989569084
13.0,ALB,2022,montreal,0.6945297529809135,0.44930592700487343,0.4824809202982462,0.48866432804574816,-0.4360850341349664,0.0,-0.05,0.45,0.6363636363636364,Williams,1.0,MEDIUM,1,0 days 00:01:19.720000,14,152.49213408928736,2.718995194624484,2.0601588523528376,0.4791393674908129,0.4227797134413159,-0.4438756155292448,0.0,0.479942401883745,-0.020596830606757304,0.3939393939393922,666075.1695958696,101454258.21134348,4372.967082642981,13049.789151823044,51080.238189685544,0.0,0.0,0.019590121781697313,2.9397405761884854,32.50386267794257,1659.031850541966,0.0,101454258.21134348,4372.967082642981,38943.12344197031,False,False,True,False,False,False,True,False,False,True,False,False,17.7857620959388,33.0,0.06579196829570456,33.0,43.764262558050866,9885.759500777924,10044.693286327476,10049.90809842708,10000.967748078552,100.73390847825551,58.252974664309825,65.44227599241135,65.45396616292567,63.274554745663075,4.362326911460256,186.6064444324512,197.06791990147832,196.90988163453014,193.67149518366855,6.120026958846738,False,False,True,False,False,0,1.0,False,False,True,False,False,0.6145089417420679
